#adsbScope-landnamefile 
0 0 
6259 5722 GAZA_STRIP
9557 5973 IRAN
7737 5973 IRAQ
8290 5297 ISA-NEUTRAL_ZONE
6392 5780 ISRAEL
6747 5806 JORDAN
8611 5354 KUWAIT
6549 6185 LEBANON
10262 3538 OMAN
7737 4152 SAUDI_ARABIA
7021 6401 SYRIA
6906 7002 TURKEY
9732 4236 UNITED_ARAB_EMIRATES
6420 5830 WEST_BANK
8920 2932 YEMEN
