adsbScope-WatchLog    2019/10/29
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  13:38:46  100000  ZUFWN     5900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:38:53  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:38:59  100000  ZUFWN     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:06  100000  ZUFWN     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:12  100000  ZUWMM     6100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:19  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:25  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:32  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:38  100000  ZUWMM     6300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:45  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:52  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:39:58  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:05  100000  ZUWMM     6550    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:11  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:18  100000  ZUFWN     6675    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:24  100000  ZUFWN     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:31  100000  ZUWMM     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:37  100000  ZUWMM     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:44  100000  ZUWMM     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:50  100000  ZUWMM     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:40:57  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:03  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:10  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:16  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:23  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:29  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:36  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:42  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:49  100000  ZUWMM     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:41:55  100000  ZUWMM     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:02  100000  ZUFWN     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:09  100000  ZUWMM     6900    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:15  100000  ZUWMM     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:22  100000  ZUWMM     7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:28  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:35  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:41  100000  ZUFWN     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:48  100000  ZUFWN     6825    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:42:54  100000  ZUFWN     6875    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:01  100000  ZUWMM     6925    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:07  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:14  100000  ZUWMM     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:20  100000  ZUWMM     7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:27  100000  ZUFWN     7125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:33  100000  ZUFWN     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:40  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:46  100000  ZUWMM     7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:53  100000  ZUWMM     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:43:59  100000  ZUWMM     7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:06  100000  ZUWMM     7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:13  100000  ZUWMM     7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:19  100000  ZUWMM     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:26  100000  ZUWMM     7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:32  100000  ZUWMM     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:39  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:45  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:52  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:44:58  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:05  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:11  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:18  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:24  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:31  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:37  100000  ZUFWN     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:44  100000  ZUFWN     7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:50  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:45:57  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:04  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:10  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:17  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:23  100000  ZUFWN     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:30  100000  ZUFWN     7475    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:36  100000  ZUFWN     7475    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:43  100000  ZUFWN     7475    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:49  100000  ZUFWN     7475    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:46:56  100000  ZUFWN     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:02  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:09  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:15  100000  ZUFWN     7350    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:22  100000  ZUFWN     7350    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:28  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:35  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:41  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:48  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:47:54  100000  ZUFWN     7275    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:01  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:08  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:14  100000  ZUFWN     7300    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:21  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:27  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:34  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:40  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:47  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:48:53  100000  ZUFWN     7325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:00  100000  ZUWMM     7375    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:06  100000  ZUWMM     7375    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:13  100000  ZUWMM     7375    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:20  100000  ZUWMM     7450    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:26  100000  ZUWMM     7450    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:33  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:39  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:46  100000  ZUWMM     7250    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:52  100000  ZUWMM     7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:49:59  100000  ZUWMM     7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:06  100000  ZUWMM     7025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:12  100000  ZUWMM     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:19  100000  ZUWMM     7375    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:25  100000  ZUWMM     6950    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:32  100000  ZUFWN     7425    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:38  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:45  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:51  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:50:58  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:04  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:11  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  13:51:17  100000  ZUFWN     6775    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
