adsbScope-WatchLog    2018/05/06
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  17:09:27  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:34  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:41  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:49  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:56  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:03  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:10  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:17  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:24  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:32  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:39  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:46  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:10:53  100000            4525    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  17:11:00  100000
--     1  17:18:09  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:16  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:23  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:30  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:38  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:45  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:52  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:18:59  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:06  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:13  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:21  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:28  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:35  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:42  100000            5700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:49  100000            5675    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:19:56  100000            5675    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:03  100000            5675    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:10  100000            5675    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:18  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:25  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:32  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:39  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:46  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:20:53  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:21:01  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:21:08  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:21:15  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:21:22  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:21:29  100000            5650    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  17:21:36  100000
--     1  17:23:36  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:23:43  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:23:50  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:23:57  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:04  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:11  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:19  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:26  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:33  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:24:40  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  17:24:47  100000
