adsbScope-WatchLog    2018/05/06
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
>>     1  16:59:11  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:19  100000            7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:26  100000            7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:33  100000            7125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:40  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:48  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  16:59:55  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:02  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:09  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:16  100000            7200    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:24  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:31  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:38  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:45  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:52  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:00:59  100000            7225    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:06  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:14  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:21  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:28  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:35  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:42  100000            7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:49  100000            7100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:01:56  100000            7125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:04  100000            7125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:11  100000            7125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:18  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:25  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:32  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:39  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:47  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:02:54  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:01  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:08  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:15  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:22  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:30  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:37  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:03:44  100000            7175    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  17:03:51  100000
--     1  17:04:41  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:04:48  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:04:55  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:02  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:09  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:17  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:24  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:31  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:38  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:45  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:05:52  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:00  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:07  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:14  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:22  100000            7150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:29  100000            6575    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:36  100000            6425    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:43  100000            6325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:50  100000            6325    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:06:57  100000            6150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:04  100000            6150    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:11  100000            6125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:18  100000            6125    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:26  100000            6100    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:33  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:40  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:47  100000            6075    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:07:54  100000            6050    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:01  100000            6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:08  100000            6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:16  100000            6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:23  100000            6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:30  100000            6025    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:37  100000           40488    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:44  100000           40488    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:51  100000           40488    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:08:59  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:06  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:13  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  17:09:20  100000            4700    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
