adsbScope-WatchLog    2018/05/07
    Watch     Time      AA   Flight    Alt        Lat       Long  Speed  Head  Vario       Reg      Type
--     1  07:51:51  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:51:57  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:04  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:11  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:18  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:25  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:31  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:38  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
--     1  07:52:44  100000               0    0.0000°    0.0000°      0  -213      0    D-EFCH      PA46
<<     1  07:52:51  100000
